,close,funding_rate,is_trade,inj,eq,clt,leverage,entry,pos_size,d,change,change_pnl,funding,funding_pnl,margin,mm_sl,is_sl,fee,pnl
0,337.9821,-1.1979140536715536e-08,False,0.5,0.5,0.5,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
1,337.9821,-2.8682582441791284e-05,True,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,0.0,0.0,0.0,0.0,0.4975,0.15546875,False,0.0025,-0.0025000000000000022
2,337.9821,-2.0827502650017057e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,0.0,0.0,5.180841284191743e-05,5.180841284191743e-05,0.4975518084128419,0.15546875,False,0.0,-0.0024481915871580884
3,337.9821,-2.9742316755094003e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,0.0,0.0,7.398401292829632e-08,5.188239685484572e-05,0.4975518823968548,0.15546875,False,0.0,-0.0024481176031451723
4,337.9821,1.741567382265153e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,0.0,0.0,-4.332148863384568e-09,5.187806470598233e-05,0.49755187806470597,0.15546875,False,0.0,-0.002448121935294034
5,332.38,-6.757671529744963e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,1.6531084699022134e-07,5.204337555297255e-05,0.45632138722541954,0.15546875,False,0.0,-0.04367861277458046
6,332.38,4.159187735185768e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,-1.0174493451901301e-07,5.194163061845354e-05,0.456321285480485,0.15546875,False,0.0,-0.043678714519514994
7,332.38,-1.831125466024916e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,4.479426092279553e-05,9.673589154124906e-05,0.4563660797414078,0.15546875,False,0.0,-0.043633920258592196
8,332.38,-9.59933184024641e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,2.3482551202236714e-07,9.697071705327143e-05,0.45636631456691984,0.15546875,False,0.0,-0.04363368543308016
9,332.38,-6.44915763570534e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,1.5776376617881258e-07,9.712848081945024e-05,0.456366472330686,0.15546875,False,0.0,-0.043633527669314
10,332.38,-2.2410923995135182e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,5.482315633664857e-08,9.718330397578688e-05,0.45636652715384235,0.15546875,False,0.0,-0.04363347284615765
11,332.38,-1.8611071218182738e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,4.552769297724702e-07,9.763858090555935e-05,0.4563669824307721,0.15546875,False,0.0,-0.04363301756922788
12,332.38,-6.090770935317376e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,1.4899666219478675e-08,9.765348057177883e-05,0.45636699733043834,0.15546875,False,0.0,-0.04363300266956166
13,332.38,-7.3305390300727615e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,1.793247290316193e-08,9.767141304468199e-05,0.45636701526291124,0.15546875,False,0.0,-0.043632984737088765
14,332.38,1.2563372031027086e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,-3.073339185488239e-08,9.764067965282711e-05,0.4563669845295194,0.15546875,False,0.0,-0.043633015470480596
15,332.38,-3.382777106515159e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-5.602100000000007,-0.041230656150133445,8.275183932745189e-07,9.846819804610163e-05,0.45636781204791266,0.15546875,False,0.0,-0.04363218795208734
16,328.84,-2.2311858166839146e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-9.142100000000028,-0.06728455072028983,5.399950383752177e-08,9.852219754993915e-05,0.43031397147726014,0.15546875,False,0.0,-0.06968602852273986
17,328.84,4.9728899390891695e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-9.142100000000028,-0.06728455072028983,-1.2035465058151244e-07,9.840184289935763e-05,0.4303138511226095,0.15546875,False,0.0,-0.0696861488773905
18,328.41,-1.2525821047380196e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-9.572099999999978,-0.07044928932626889,3.0275544664342278e-05,0.0001286773875636999,0.42717938806129485,0.15546875,False,0.0,-0.07282061193870515
19,327.159362,-1.2537695968398874e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.822738000000015,-0.07965380644418753,3.018884351346928e-05,0.0001588662310771692,0.4180050597868897,0.15546875,False,0.0,-0.08199494021311032
20,325.69,1.2298456200105564e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-12.292100000000005,-0.09046810097339478,-2.9479791820434565e-05,0.00012938643925673463,0.40716128546586194,0.15546875,False,0.0,-0.09283871453413806
21,329.09352,-5.963989910900118e-06,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-8.88857999999999,-0.06541867971706186,1.444526855754708e-05,0.0001438317078142817,0.4322251519907524,0.15546875,False,0.0,-0.0677748480092476
22,327.51,-1.011240174187549e-06,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.472100000000012,-0.0770731608271563,2.4375204567114895e-06,0.0001462692282709932,0.42057310840111467,0.15546875,False,0.0,-0.07942689159888533
23,327.51,-3.213432714646645e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.472100000000012,-0.0770731608271563,7.745744461260323e-05,0.00022372667288359644,0.4206505658457273,0.15546875,False,0.0,-0.0793494341542727
24,327.51,-1.4324607926003336e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.472100000000012,-0.0770731608271563,3.452841940546648e-08,0.0002237612013030019,0.4206506003741467,0.15546875,False,0.0,-0.0793493996258533
25,327.51,-2.617065922383582e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.472100000000012,-0.0770731608271563,6.30824593919802e-07,0.00022439202589692172,0.4206512311987406,0.15546875,False,0.0,-0.0793487688012594
26,327.51,-5.864408876576642e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-10.472100000000012,-0.0770731608271563,1.41357285519838e-07,0.00022453338318244155,0.42065137255602614,0.15546875,False,0.0,-0.07934862744397386
27,324.44,2.268646068110873e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-13.542100000000005,-0.09966792250240473,-5.4171458539239355e-08,0.0002244792117239023,0.39805655670931916,0.15546875,False,0.0,-0.10194344329068084
28,324.44,-1.736996599278873e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-13.542100000000005,-0.09966792250240473,4.147656198262329e-08,0.00022452068828588494,0.3980565981858811,0.15546875,False,0.0,-0.10194340181411887
29,323.753635,-4.360347177260746e-06,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,1.0389750354069453e-05,0.0002349104386399544,0.3930154395332279,0.15546875,False,0.0,-0.10698456046677213
30,323.753635,1.2950189606867307e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,-3.085745964332651e-05,0.00020405297899662788,0.39298458207358455,0.15546875,False,0.0,-0.10701541792641545
31,323.753635,1.0410658270919589e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,-2.480631382300472e-08,0.00020402817268280488,0.3929845572672707,0.15546875,False,0.0,-0.10701544273272928
32,323.753635,-9.21793360445382e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,2.1964312711179253e-07,0.00020424781580991668,0.39298477691039785,0.15546875,False,0.0,-0.10701522308960215
33,323.753635,1.1968838691411254e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,-2.8519115789768682e-08,0.0002042192966941269,0.39298474839128206,0.15546875,False,0.0,-0.10701525160871794
34,323.753635,-5.788521274635595e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,1.379277578545148e-08,0.00020423308946991236,0.39298476218405787,0.15546875,False,0.0,-0.10701523781594213
35,323.753635,-1.2835112880081747e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,3.0583257059389943e-09,0.0002042361477956183,0.39298476524238357,0.15546875,False,0.0,-0.10701523475761643
36,323.753635,-2.772080681408232e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.228465000000028,-0.10471947090541205,6.605259872738793e-08,0.00020430220039434569,0.3929848312949823,0.15546875,False,0.0,-0.1070151687050177
37,326.96,-1.539841245693626e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-11.022100000000023,-0.08112108229992078,3.7054415102421694e-09,0.00020430590583585593,0.4165832236059151,0.15546875,False,0.0,-0.0834167763940849
38,326.96,2.0179476591825664e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-11.022100000000023,-0.08112108229992078,-4.8559467040791523e-08,0.00020425734636881515,0.41658317504644804,0.15546875,False,0.0,-0.08341682495355196
39,324.6,6.18610165506114e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-13.38209999999998,-0.09849034534669128,-0.00014778656578607872,5.647078058273642e-05,0.39906612543389147,0.15546875,False,0.0,-0.10093387456610853
40,323.8937,1.2161122080188727e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.088399999999979,-0.10368861250344306,-2.8989821299489704e-05,2.7480959283246718e-05,0.39383886845584015,0.15546875,False,0.0,-0.10616113154415985
41,323.8937,2.347063756961793e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.088399999999979,-0.10368861250344306,-5.5949573110259725e-05,-2.8468613827013008e-05,0.3937829188827299,0.15546875,False,0.0,-0.10621708111727007
42,323.8937,-1.869332634728009e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-14.088399999999979,-0.10368861250344306,4.456136421683569e-08,-2.8424052462796173e-05,0.39378296344409414,0.15546875,False,0.0,-0.10621703655590586
43,324.7,1.2405739329107073e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-13.282100000000014,-0.09775435962437073,-2.964656147737011e-08,-2.8453699024273544e-05,0.399717186676605,0.15546875,False,0.0,-0.100282813323395
44,324.7,3.964702283211853e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-13.282100000000014,-0.09775435962437073,-9.474629996692828e-09,-2.8463173654270236e-05,0.39971717720197497,0.15546875,False,0.0,-0.10028282279802503
45,321.535284,2.625874920617921e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-16.446816000000013,-0.12104621753637257,-6.214011638172656e-05,-9.060329003599679e-05,0.3763631791735914,0.15546875,False,0.0,-0.12363682082640859
46,321.0,-1.3068914153363665e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-16.982100000000003,-0.12498583135024015,3.087549485618904e-05,-5.9727795179807755e-05,0.37245444085458,0.15546875,False,0.0,-0.12754555914541998
47,321.0,1.6780861264133446e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-16.982100000000003,-0.12498583135024015,-3.9645022498661176e-08,-5.9767440202306416e-05,0.37245440120955753,0.15546875,False,0.0,-0.12754559879044247
48,322.32,-1.00072984819539e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,2.373960547370603e-05,-3.602783472860038e-05,0.3821931523496657,0.15546875,False,0.0,-0.11780684765033428
49,322.32,-1.1424951324363734e-06,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,2.710260291384199e-06,-3.3317574437216184e-05,0.38219586260995714,0.15546875,False,0.0,-0.11780413739004286
50,322.32,-5.637084776620062e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,1.3372456998271336e-06,-3.198032873738905e-05,0.3821971998556569,0.15546875,False,0.0,-0.11780280014434308
51,322.32,-1.8495149155471265e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,4.387473251847169e-08,-3.193645400487058e-05,0.3821972437303895,0.15546875,False,0.0,-0.11780275626961051
52,322.32,-3.2080260583919733e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,7.610173026509364e-09,-3.192884383184407e-05,0.3821972513405625,0.15546875,False,0.0,-0.11780274865943752
53,322.32,-4.997664350249111e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,1.1855605204428221e-06,-3.074328331140125e-05,0.38219843690108296,0.15546875,False,0.0,-0.11780156309891704
54,322.32,2.5527742287855554e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,-6.055765515947806e-08,-3.080384096656073e-05,0.3821983763434278,0.15546875,False,0.0,-0.11780162365657221
55,322.32,-2.060431076026624e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.66210000000001,-0.11527081981560568,4.887814722309087e-09,-3.079895315183842e-05,0.3821983812312425,0.15546875,False,0.0,-0.1178016187687575
56,322.52,-2.650731303212369e-07,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,6.292043947094334e-07,-3.0169748757128987e-05,0.3836709818802787,0.15546875,False,0.0,-0.1163290181197213
57,322.52,-6.055484530584375e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,1.4373910603919941e-08,-3.0155374846525068e-05,0.3836709962541893,0.15546875,False,0.0,-0.11632900374581068
58,322.52,-1.273099681585036e-05,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,3.0219581803169586e-05,6.420695664451794e-08,0.3837012158359925,0.15546875,False,0.0,-0.11629878416400752
59,322.52,-9.015225352206163e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,2.139945080072705e-08,8.560640744524499e-08,0.3837012372354433,0.15546875,False,0.0,-0.1162987627645567
60,322.52,-5.290658627945705e-06,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,1.2558442478030813e-05,1.2644048885476057e-05,0.3837137956779213,0.15546875,False,0.0,-0.1162862043220787
61,322.52,2.716324623913913e-08,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,-6.447742887982762e-08,1.2579571456596229e-05,0.38371373120049246,0.15546875,False,0.0,-0.11628626879950754
62,322.52,-9.045265692116838e-09,False,0.0,0.5,0.4975,5,337.9821,0.007359857223207974,1,-15.46210000000002,-0.11379884837096417,2.1470757590168343e-08,1.2601042214186397e-05,0.38371375267125,0.15546875,False,0.0,-0.11628624732874998
