,datetime,long_close,short_close,long_funding,short_funding,long_pnl,short_pnl,total_pnl
0,2023-05-01 00:00:35,337.9821,337.3,-1.1979140536715536e-08,-0.00013228125,0.0,0.0,0.0
1,2023-05-01 01:00:12,337.9821,337.3,-2.8682582441791284e-05,-0.00013228125,-0.0025000000000000022,-0.0025000000000000022,-0.0050000000000000044
2,2023-05-01 02:00:15,337.9821,337.3,-2.0827502650017057e-05,-0.00013228125,-0.0024481915871580884,-0.002829049609375023,-0.005277241196533111
3,2023-05-01 03:00:09,337.9821,337.3,-2.9742316755094003e-08,-0.00013228125,-0.0024481176031451723,-0.003158099218749988,-0.00560621682189516
4,2023-05-01 04:00:12,337.9821,337.3,1.741567382265153e-09,-0.00013228125,-0.002448121935294034,-0.0034871488281250085,-0.005935270763419043
5,2023-05-01 05:00:10,332.38,337.3,-6.757671529744963e-08,-0.00013228125,-0.04367861277458046,-0.003816198437500029,-0.04749481121208049
6,2023-05-01 06:00:18,332.38,337.3,4.159187735185768e-08,-0.00013228125,-0.043678714519514994,-0.004145248046874994,-0.04782396256638999
7,2023-05-01 07:00:18,332.38,337.3,-1.831125466024916e-05,-0.00013228125,-0.043633920258592196,-0.004474297656250015,-0.04810821791484221
8,2023-05-01 08:00:15,332.38,333.25,-9.59933184024641e-08,-0.00011792375,-0.04363368543308016,0.0251035885041484,-0.01853009692893176
9,2023-05-01 09:00:13,332.38,333.25,-6.44915763570534e-08,-0.00011792375,-0.043633527669314,0.024813775287137796,-0.018819752382176202
10,2023-05-01 10:00:18,332.38,333.25,-2.2410923995135182e-08,-0.00011792375,-0.04363347284615765,0.024523962070127303,-0.019109510776030347
11,2023-05-01 11:00:15,332.38,333.25,-1.8611071218182738e-07,-0.00011792375,-0.04363301756922788,0.0242341488531167,-0.019398868716111184
12,2023-05-01 12:00:15,332.38,333.25,-6.090770935317376e-09,-0.00011792375,-0.04363300266956166,0.023944335636106207,-0.019688667033455454
13,2023-05-01 13:00:17,332.38,333.25,-7.3305390300727615e-09,-0.00011792375,-0.043632984737088765,0.023654522419095603,-0.019978462317993162
14,2023-05-01 14:00:32,332.38,333.25,1.2563372031027086e-08,-0.00011792375,-0.043633015470480596,0.02336470920208511,-0.020268306268395486
15,2023-05-01 15:00:17,332.38,333.25,-3.382777106515159e-07,-0.00011792375,-0.04363218795208734,0.023074895985074506,-0.020557291967012836
16,2023-05-01 16:00:16,328.84,330.33,-2.2311858166839146e-08,-0.00015052625,-0.06968602852273986,0.04424244179383774,-0.025443586728902123
