datetime,timestamp,open,high,low,close,funding_rate
2021-12-01 04:00:00,1638331200.0,57388.25,57388.25,57388.25,57388.25,0.0001
2021-12-01 12:00:00,1638360000.0,57149.75,57149.75,57149.75,57149.75,0.0001
2021-12-01 20:00:00,1638388800.0,57429.5,57429.5,57429.5,57429.5,0.0001
2021-12-02 04:00:00,1638417600.0,56299.75,56299.75,56299.75,56299.75,0.0001
2021-12-02 12:00:00,1638446400.0,56313.25,56313.25,56313.25,56313.25,0.0001
2021-12-02 20:00:00,1638475200.0,56614.0,56614.0,56614.0,56614.0,0.0001
2021-12-03 04:00:00,1638504000.0,56321.75,56321.75,56321.75,56321.75,0.0001
2021-12-03 12:00:00,1638532800.0,56992.25,56992.25,56992.25,56992.25,0.0001
2021-12-03 20:00:00,1638561600.0,53843.75,53843.75,53843.75,53843.75,0.0001
2021-12-04 04:00:00,1638590400.0,51998.5,51998.5,51998.5,51998.5,0.0001
2021-12-04 12:00:00,1638619200.0,46468.0,46468.0,46468.0,46468.0,0.0001
2021-12-04 20:00:00,1638648000.0,49243.5,49243.5,49243.5,49243.5,-0.000864
2021-12-05 04:00:00,1638676800.0,49163.25,49163.25,49163.25,49163.25,-0.000499
2021-12-05 12:00:00,1638705600.0,49225.0,49225.0,49225.0,49225.0,-0.000131
2021-12-05 20:00:00,1638734400.0,48871.25,48871.25,48871.25,48871.25,-0.000509
2021-12-06 04:00:00,1638763200.0,49003.75,49003.75,49003.75,49003.75,-0.000231
2021-12-06 12:00:00,1638792000.0,48576.5,48576.5,48576.5,48576.5,-7.2e-05
2021-12-06 20:00:00,1638820800.0,49099.75,49099.75,49099.75,49099.75,4.4e-05
2021-12-07 04:00:00,1638849600.0,50925.25,50925.25,50925.25,50925.25,0.0001
2021-12-07 12:00:00,1638878400.0,51443.25,51443.25,51443.25,51443.25,-0.000168
2021-12-07 20:00:00,1638907200.0,50873.25,50873.25,50873.25,50873.25,-0.000144
2021-12-08 04:00:00,1638936000.0,50114.25,50114.25,50114.25,50114.25,0.0001
2021-12-08 12:00:00,1638964800.0,49170.0,49170.0,49170.0,49170.0,0.0001
2021-12-08 20:00:00,1638993600.0,50437.5,50437.5,50437.5,50437.5,0.0001
2021-12-09 04:00:00,1639022400.0,49505.25,49505.25,49505.25,49505.25,0.0001
2021-12-09 12:00:00,1639051200.0,49145.25,49145.25,49145.25,49145.25,0.0001
2021-12-09 20:00:00,1639080000.0,47614.25,47614.25,47614.25,47614.25,9.7e-05
2021-12-10 04:00:00,1639108800.0,48365.0,48365.0,48365.0,48365.0,0.0001
2021-12-10 12:00:00,1639137600.0,48711.5,48711.5,48711.5,48711.5,7e-05
2021-12-10 20:00:00,1639166400.0,48113.25,48113.25,48113.25,48113.25,0.0001
2021-12-11 04:00:00,1639195200.0,48298.5,48298.5,48298.5,48298.5,0.0001
2021-12-11 12:00:00,1639224000.0,48213.0,48213.0,48213.0,48213.0,6.9e-05
2021-12-11 20:00:00,1639252800.0,48395.5,48395.5,48395.5,48395.5,-1.3e-05
2021-12-12 04:00:00,1639281600.0,49295.75,49295.75,49295.75,49295.75,5.3e-05
2021-12-12 12:00:00,1639310400.0,49123.25,49123.25,49123.25,49123.25,-5.6e-05
2021-12-12 20:00:00,1639339200.0,50209.0,50209.0,50209.0,50209.0,-0.000149
2021-12-13 04:00:00,1639368000.0,48823.25,48823.25,48823.25,48823.25,0.0001
2021-12-13 12:00:00,1639396800.0,48810.5,48810.5,48810.5,48810.5,-6.1e-05
2021-12-13 20:00:00,1639425600.0,46697.25,46697.25,46697.25,46697.25,-8.5e-05
2021-12-14 04:00:00,1639454400.0,46936.25,46936.25,46936.25,46936.25,-9e-06
2021-12-14 12:00:00,1639483200.0,47601.75,47601.75,47601.75,47601.75,-4.6e-05
2021-12-14 20:00:00,1639512000.0,46849.75,46849.75,46849.75,46849.75,0.0001
2021-12-15 04:00:00,1639540800.0,48248.5,48248.5,48248.5,48248.5,7.8e-05
2021-12-15 12:00:00,1639569600.0,48123.25,48123.25,48123.25,48123.25,0.0001
2021-12-15 20:00:00,1639598400.0,48655.5,48655.5,48655.5,48655.5,0.0001
2021-12-16 04:00:00,1639627200.0,48822.0,48822.0,48822.0,48822.0,2.3e-05
2021-12-16 12:00:00,1639656000.0,49197.0,49197.0,49197.0,49197.0,0.0001
2021-12-16 20:00:00,1639684800.0,47878.0,47878.0,47878.0,47878.0,0.0001
2021-12-17 04:00:00,1639713600.0,47767.25,47767.25,47767.25,47767.25,0.0001
2021-12-17 12:00:00,1639742400.0,47109.75,47109.75,47109.75,47109.75,0.0001
2021-12-17 20:00:00,1639771200.0,46750.0,46750.0,46750.0,46750.0,-2.1e-05
2021-12-18 04:00:00,1639800000.0,46296.75,46296.75,46296.75,46296.75,-6.4e-05
2021-12-18 12:00:00,1639828800.0,47047.75,47047.75,47047.75,47047.75,8.1e-05
2021-12-18 20:00:00,1639857600.0,46643.5,46643.5,46643.5,46643.5,0.0001
2021-12-19 04:00:00,1639886400.0,47702.5,47702.5,47702.5,47702.5,-4.8e-05
2021-12-19 12:00:00,1639915200.0,47145.5,47145.5,47145.5,47145.5,6.6e-05
2021-12-19 20:00:00,1639944000.0,46662.5,46662.5,46662.5,46662.5,0.0001
2021-12-20 04:00:00,1639972800.0,46679.25,46679.25,46679.25,46679.25,2e-05
2021-12-20 12:00:00,1640001600.0,46085.25,46085.25,46085.25,46085.25,-2.6e-05
2021-12-20 20:00:00,1640030400.0,46583.5,46583.5,46583.5,46583.5,0.0001
2021-12-21 04:00:00,1640059200.0,47936.0,47936.0,47936.0,47936.0,0.0001
2021-12-21 12:00:00,1640088000.0,48836.5,48836.5,48836.5,48836.5,0.0001
2021-12-21 20:00:00,1640116800.0,48616.5,48616.5,48616.5,48616.5,0.0001
2021-12-22 04:00:00,1640145600.0,49253.0,49253.0,49253.0,49253.0,0.0001
2021-12-22 12:00:00,1640174400.0,48978.0,48978.0,48978.0,48978.0,-2e-05
2021-12-22 20:00:00,1640203200.0,48934.5,48934.5,48934.5,48934.5,6.8e-05
2021-12-23 04:00:00,1640232000.0,48535.5,48535.5,48535.5,48535.5,0.0001
2021-12-23 12:00:00,1640260800.0,48355.25,48355.25,48355.25,48355.25,-3.5e-05
2021-12-23 20:00:00,1640289600.0,51117.5,51117.5,51117.5,51117.5,8.1e-05
2021-12-24 04:00:00,1640318400.0,51013.75,51013.75,51013.75,51013.75,0.0001
2021-12-24 12:00:00,1640347200.0,50994.25,50994.25,50994.25,50994.25,-1.6e-05
2021-12-24 20:00:00,1640376000.0,51101.25,51101.25,51101.25,51101.25,-6.2e-05
2021-12-25 04:00:00,1640404800.0,50814.25,50814.25,50814.25,50814.25,8e-06
2021-12-25 12:00:00,1640433600.0,50612.75,50612.75,50612.75,50612.75,-7.2e-05
2021-12-25 20:00:00,1640462400.0,50920.5,50920.5,50920.5,50920.5,3.2e-05
2021-12-26 04:00:00,1640491200.0,49620.0,49620.0,49620.0,49620.0,0.0001
2021-12-26 12:00:00,1640520000.0,49706.0,49706.0,49706.0,49706.0,-0.000143
2021-12-26 20:00:00,1640548800.0,50307.75,50307.75,50307.75,50307.75,-8.4e-05
2021-12-27 04:00:00,1640577600.0,51001.5,51001.5,51001.5,51001.5,9.2e-05
2021-12-27 12:00:00,1640606400.0,50734.5,50734.5,50734.5,50734.5,6.4e-05
2021-12-27 20:00:00,1640635200.0,51188.0,51188.0,51188.0,51188.0,9.2e-05
2021-12-28 04:00:00,1640664000.0,49824.25,49824.25,49824.25,49824.25,6.7e-05
2021-12-28 12:00:00,1640692800.0,49193.75,49193.75,49193.75,49193.75,-5e-05
2021-12-28 20:00:00,1640721600.0,47694.0,47694.0,47694.0,47694.0,3.8e-05
2021-12-29 04:00:00,1640750400.0,48021.0,48021.0,48021.0,48021.0,0.0001
2021-12-29 12:00:00,1640779200.0,47736.25,47736.25,47736.25,47736.25,9.3e-05
2021-12-29 20:00:00,1640808000.0,47134.25,47134.25,47134.25,47134.25,0.0001
2021-12-30 04:00:00,1640836800.0,46508.0,46508.0,46508.0,46508.0,-1e-06
2021-12-30 12:00:00,1640865600.0,47513.75,47513.75,47513.75,47513.75,-4.1e-05
2021-12-30 20:00:00,1640894400.0,47539.25,47539.25,47539.25,47539.25,-1.8e-05
2021-12-31 04:00:00,1640923200.0,47200.5,47200.5,47200.5,47200.5,5.6e-05
2021-12-31 12:00:00,1640952000.0,47959.25,47959.25,47959.25,47959.25,4.7e-05
2021-12-31 20:00:00,1640980800.0,45658.75,45658.75,45658.75,45658.75,-1.4e-05
2022-01-01 04:00:00,1641009600.0,45658.75,45658.75,45658.75,45658.75,6.8e-05
2022-01-01 12:00:00,1641038400.0,45658.75,45658.75,45658.75,45658.75,8.5e-05
2022-01-01 20:00:00,1641067200.0,45658.75,45658.75,45658.75,45658.75,2e-06
2022-01-02 04:00:00,1641096000.0,45658.75,45658.75,45658.75,45658.75,-0.000181
2022-01-02 12:00:00,1641124800.0,45658.75,45658.75,45658.75,45658.75,5.8e-05
2022-01-02 20:00:00,1641153600.0,45658.75,45658.75,45658.75,45658.75,-5.8e-05
2022-01-03 04:00:00,1641182400.0,45658.75,45658.75,45658.75,45658.75,1.2e-05
2022-01-03 12:00:00,1641211200.0,45658.75,45658.75,45658.75,45658.75,1.6e-05
2022-01-03 20:00:00,1641240000.0,45658.75,45658.75,45658.75,45658.75,0.0001
2022-01-04 04:00:00,1641268800.0,45658.75,45658.75,45658.75,45658.75,-9.9e-05
2022-01-04 12:00:00,1641297600.0,45658.75,45658.75,45658.75,45658.75,-6.8e-05
2022-01-04 20:00:00,1641326400.0,45658.75,45658.75,45658.75,45658.75,0.0001
2022-01-05 04:00:00,1641355200.0,45658.75,45658.75,45658.75,45658.75,9.9e-05
2022-01-05 12:00:00,1641384000.0,45658.75,45658.75,45658.75,45658.75,0.0001
